lon,lat,vs30,z1pt0,z2pt5,vs30measured
91.96620,22.37720,1.970000E+02,5.101389E+02,2.843441E+00,0
92.06450,22.21230,4.270000E+02,3.216419E+02,1.173557E+00,0
91.74880,22.75540,2.000000E+02,5.093459E+02,2.794700E+00,0
91.79780,22.52610,2.280000E+02,5.001754E+02,2.405670E+00,0
91.84600,22.28710,2.230000E+02,5.020622E+02,2.467475E+00,0
92.11200,21.98600,2.180000E+02,5.038363E+02,2.532324E+00,0
91.54750,22.80380,2.270000E+02,5.005620E+02,2.417798E+00,0
91.98740,22.29310,2.260000E+02,5.009439E+02,2.430041E+00,0
92.06830,22.46610,2.050000E+02,5.079474E+02,2.716859E+00,0
91.91720,22.51960,2.230000E+02,5.020622E+02,2.467475E+00,0
91.45780,22.51060,2.170000E+02,5.041779E+02,2.545679E+00,0
92.05950,22.10590,2.230000E+02,5.020622E+02,2.467475E+00,0
91.65690,22.54300,6.000000E+02,1.258340E+02,7.952589E-01,0
91.78330,22.37150,4.790000E+02,2.548738E+02,1.028987E+00,0
91.80770,22.41780,3.590000E+02,4.035543E+02,1.431151E+00,0
91.85890,22.34650,2.290000E+02,4.997842E+02,2.393656E+00,0
91.83630,22.35510,3.200000E+02,4.421613E+02,1.632383E+00,0
91.86670,22.38810,2.170000E+02,5.041779E+02,2.545679E+00,0
91.77530,22.30870,2.490000E+02,4.909454E+02,2.175011E+00,0
91.80720,22.32440,2.280000E+02,5.001754E+02,2.405670E+00,0
91.78270,22.28410,1.920000E+02,5.113861E+02,2.928310E+00,0
91.77340,22.33380,2.220000E+02,5.024259E+02,2.480195E+00,0
91.83350,22.33810,2.960000E+02,4.618297E+02,1.784662E+00,0
91.80910,22.35880,2.620000E+02,4.841060E+02,2.051998E+00,0
91.77120,22.35320,2.320000E+02,4.985826E+02,2.358280E+00,0
91.83040,22.37030,3.010000E+02,4.580017E+02,1.750788E+00,0
91.80410,22.25130,2.000000E+02,5.093459E+02,2.794700E+00,0
91.82500,22.32470,2.950000E+02,4.625782E+02,1.791584E+00,0
