taxonomy,conversion,weight
MATO/LN+DNO/H:1/EMME/RES,INF/H1/RES,1
MATO/LN+DNO/H:1/EWO/RES,INF/H1/RES,1
MATO/LN+DNO/H:1/EWPL/RES,INF/H1/RES,1
MATO/LN+DNO/H:1/EWV/RES,INF/H1/RES,1
MUR+CLBRS/LWAL+DNO/H:1/EWC/RES,MUR+CLBRS/LWAL+DNO/H1/RES,1
MUR+CLBRS/LWAL+DNO/H:1/EWSL/RES,MUR+CLBRS/LWAL+DNO/H1/RES,1
MUR+CLBRS/LWAL+DNO/H:2/EWC/RES,MUR+CLBRS/LWAL+DNO/H2/RES,1
MUR+CLBRS/LWAL+DNO/H:3/EWC/RES,MUR+CLBRS/LWAL+DNO/H3/RES,1
MUR+CLBRS/LWAL+DNO/H:4/EWC/RES,MUR+CLBRS/LWAL+DNO/H4/RES,1
W/LFM+DUL/H:1/EWW/RES,W/LFM+CDL+DUL/H1/RES,1
